Date,Open,High,Low,Close
03/01/2000,11501.85,11641.07,11180.98,11357.51
04/01/2000,11349.75,11358.44,10907.03,10997.93
05/01/2000,10989.37,11337.65,10862.66,11122.65
06/01/2000,11113.37,11447.79,10963.18,11253.26
07/01/2000,11247.06,11655.65,11168.26,11522.56
10/01/2000,11532.48,11765.17,11427,11572.2
11/01/2000,11568.47,11748.11,11398.3,11511.08
12/01/2000,11506.73,11751.83,11385.74,11551.1
13/01/2000,11558.24,11761.14,11421.42,11582.43
14/01/2000,11619.35,11908.5,11506.42,11722.98
18/01/2000,11719.19,11834.67,11397.22,11560.72
19/01/2000,11535.24,11710.57,11320.28,11489.36
20/01/2000,11490.29,11654.72,11194.32,11351.3
21/01/2000,11356.26,11513.87,11113.65,11251.71
24/01/2000,11251.94,11501.15,10849.01,11008.17
25/01/2000,11010.96,11228.75,10779.83,11029.89
26/01/2000,11025.85,11280.87,10870.73,11032.99
27/01/2000,11035.55,11274.36,10818.3,11028.02
28/01/2000,11024.92,11115.2,10649.21,10738.87
31/01/2000,10735.77,11059.67,10610.43,10940.53
01/02/2000,10937.74,11187.18,10798.44,11041.05
02/02/2000,11037.64,11228.44,10876,11003.2
03/02/2000,11010.48,11207.97,10799.68,11013.44
04/02/2000,11014.37,11200.83,10847.54,10963.8
07/02/2000,10965.97,11097.52,10732.67,10905.79
08/02/2000,10904.26,11139.4,10826.67,10957.6
09/02/2000,10948.82,11016.54,10647.97,10699.16
10/02/2000,10697.92,10853.67,10491.3,10643.63
11/02/2000,10638.64,10763.38,10301.12,10425.21
14/02/2000,10431.65,10674.96,10327.56,10519.84
15/02/2000,10520.15,10821.09,10377.44,10718.09
16/02/2000,10711.82,10831.64,10468.65,10561.41
17/02/2000,10565.76,10768.66,10348.66,10514.57
18/02/2000,10514.57,10562.34,10129.24,10219.52
22/02/2000,10219.83,10446.62,10011.66,10304.84
23/02/2000,10294.82,10443.21,10077.74,10225.73
24/02/2000,10242.48,10321.9,9877.94,10092.63
25/02/2000,10090.77,10196.02,9767.8,9862.12
28/02/2000,9854.66,10228.52,9760.36,10038.65
29/02/2000,10039.58,10332.14,9926.65,10128.31
01/03/2000,10128.11,10355.72,9935.96,10137.93
02/03/2000,10135.44,10361.61,9986.53,10164.92
03/03/2000,10171.12,10581.89,10148.16,10367.2
06/03/2000,10358.96,10518.91,10038.65,10170.5
07/03/2000,10197.61,10208.66,9651.77,9796.03
08/03/2000,9800.69,10037.41,9611.75,9856.53
09/03/2000,9855.29,10097.28,9667.28,10010.73
10/03/2000,10008.55,10211.77,9792.93,9928.82
13/03/2000,9911.22,10111.25,9670.07,9947.13
14/03/2000,9957.67,10149.41,9747.33,9811.24
15/03/2000,9808.15,10294.6,9676.9,10131.41
