Date,Open,High,Low,Close
03/01/2000,6962,7159,6721,6751
04/01/2000,6747,6755,6510,6587
05/01/2000,6586,6586,6389,6502
06/01/2000,6501,6539,6403,6475
07/01/2000,6490,6792,6470,6781
10/01/2000,6785,6975,6785,6926
11/01/2000,6926,6944,6821,6891
12/01/2000,6879,6914,6783,6913
13/01/2000,6913,7106,6899,6956
14/01/2000,6960,7207,6960,7173
17/01/2000,7177,7297,7113,7259
18/01/2000,7262,7306,7054,7072
19/01/2000,7065,7110,6987,7091
20/01/2000,7096,7231,7077,7113
21/01/2000,7104,7104,6940,6993
24/01/2000,6988,7093,6922,6932
25/01/2000,6928,6928,6810,6810
26/01/2000,6838,6981,6838,6969
27/01/2000,6983,7170,6945,7126
28/01/2000,7128,7215,7040,7067
31/01/2000,7054,7054,6817,6836
01/02/2000,6841,7052,6841,7050
02/02/2000,7064,7172,7039,7172
03/02/2000,7176,7355,7134,7354
04/02/2000,7356,7492,7338,7445
07/02/2000,7451,7451,7270,7296
08/02/2000,7296,7571,7263,7550
09/02/2000,7567,7677,7526,7629
10/02/2000,7617,7709,7496,7709
11/02/2000,7724,7812,7586,7612
14/02/2000,7569,7660,7542,7645
15/02/2000,7636,7700,7396,7396
16/02/2000,7401,7597,7343,7490
17/02/2000,7478,7637,7394,7581
18/02/2000,7584,7659,7544,7574
21/02/2000,7568,7591,7448,7591
22/02/2000,7580,7726,7540,7608
23/02/2000,7620,7772,7620,7699
24/02/2000,7697,7813,7587,7641
25/02/2000,7669,7777,7641,7739
28/02/2000,7733,7747,7492,7587
29/02/2000,7591,7700,7591,7645
01/03/2000,7645,7769,7619,7728
02/03/2000,7721,7951,7640,7946
03/03/2000,7952,8022,7875,7960
06/03/2000,7960,8031,7925,7976
07/03/2000,7971,8136,7922,8065
08/03/2000,8070,8098,7949,7987
09/03/2000,7984,8085,7877,7949
10/03/2000,7953,8076,7953,7976
13/03/2000,7977,7991,7630,7694
14/03/2000,7696,7757,7630,7650
15/03/2000,7633,7633,7412,7414
16/03/2000,7417,7648,7417,7584
17/03/2000,7595,7835,7575,7711
20/03/2000,7716,7888,7716,7872
21/03/2000,7865,7865,7736,7808
22/03/2000,7828,7950,7787,7799
23/03/2000,7804,7873,7677,7695
24/03/2000,7707,7932,7707,7932
27/03/2000,7933,7940,7832,7892
28/03/2000,7891,8031,7880,7932
29/03/2000,7931,7964,7859,7865
30/03/2000,7835,7850,7611,7645
31/03/2000,7650,7704,7523,7599
03/04/2000,7600,7642,7404,7429
04/04/2000,7431,7567,7430,7523
05/04/2000,7502,7539,7206,7331
06/04/2000,7345,7480,7326,7446
07/04/2000,7470,7533,7400,7522
10/04/2000,7535,7615,7508,7517
11/04/2000,7513,7513,7366,7443
12/04/2000,7438,7518,7414,7443
13/04/2000,7421,7450,7303,7449
14/04/2000,7440,7440,7169,7215
17/04/2000,7202,7202,6891,7187
18/04/2000,7186,7305,7095,7196
19/04/2000,7204,7306,7147,7217
20/04/2000,7216,7243,7158,7158
25/04/2000,7164,7317,7096,7281
26/04/2000,7293,7444,7293,7389
27/04/2000,7387,7414,7157,7222
28/04/2000,7223,7436,7223,7415
02/05/2000,7408,7562,7406,7556
03/05/2000,7548,7572,7363,7377
04/05/2000,7389,7420,7321,7387
05/05/2000,7392,7531,7333,7531
08/05/2000,7533,7533,7383,7408
09/05/2000,7408,7408,7225,7281
10/05/2000,7274,7313,7103,7121
11/05/2000,7111,7278,7014,7259
12/05/2000,7270,7331,7206,7269
15/05/2000,7266,7278,7188,7195
16/05/2000,7204,7398,7204,7371
17/05/2000,7370,7379,7198,7212
18/05/2000,7215,7259,7159,7182
19/05/2000,7182,7182,6959,6989
22/05/2000,6983,7041,6819,6913
23/05/2000,6919,7017,6883,6928
24/05/2000,6920,6920,6794,6835
25/05/2000,6846,6998,6846,6979
26/05/2000,6969,6972,6833,6839
29/05/2000,6956,7030,6956,7017
30/05/2000,7025,7151,7025,7119
31/05/2000,7127,7214,7101,7110
01/06/2000,7118,7278,7118,7273
02/06/2000,7286,7461,7246,7439
05/06/2000,7456,7486,7355,7408
06/06/2000,7405,7465,7298,7360
07/06/2000,7364,7364,7242,7286
08/06/2000,7294,7391,7212,7253
09/06/2000,7246,7354,7234,7247
12/06/2000,7251,7315,7225,7240
13/06/2000,7223,7307,7174,7269
14/06/2000,7293,7375,7251,7351
15/06/2000,7348,7388,7325,7329
16/06/2000,7344,7369,7247,7253
19/06/2000,7134,7225,7134,7199
