"Date","Open","High","Low","Close","a","b"
"31/07/2001",5802,5861,5754,5861,5860.99297681344,"ETS(A,N,N)"
"01/08/2001",5860,5860,5813,5835,5835.00260219464,"ETS(A,N,N)"
"02/08/2001",5846,5930,5764,5777,5777.00600337853,"ETS(A,N,N)"
"03/08/2001",5777,5809,5736,5736,5736.00410125792,"ETS(A,N,N)"
"06/08/2001",5734,5803,5708,5746,5745.9989983223,"ETS(A,N,N)"
"07/08/2001",5747,5783,5689,5753,5752.999294162,"ETS(A,N,N)"
"08/08/2001",5749,5749,5609,5615,5615.01418443026,"ETS(A,N,N)"
"09/08/2001",5596,5596,5468,5512,5512.01037189908,"ETS(A,N,N)"
"10/08/2001",5523,5570,5387,5433,5433.00790241139,"ETS(A,N,N)"
"13/08/2001",5441,5500,5401,5454,5453.99789371595,"ETS(M,N,N)"
"14/08/2001",5466,5569,5466,5521,5520.9932603035,"ETS(A,N,N)"
"15/08/2001",5521,5531,5429,5455,5455.00660481314,"ETS(A,N,N)"
"16/08/2001",5454,5454,5334,5362,5362.00933782988,"ETS(A,N,N)"
"17/08/2001",5370,5416,5174,5222,5222.01400831425,"ETS(A,N,N)"
"20/08/2001",5220,5266,5125,5208,5208.00140221586,"ETS(A,N,N)"
"21/08/2001",5215,5252,5170,5216,5215.99919999038,"ETS(A,N,N)"
"22/08/2001",5204,5323,5142,5220,5219.99959886795,"ETS(M,N,N)"
"23/08/2001",5233,5280,5187,5254,5253.99659533109,"ETS(M,N,N)"
"24/08/2001",5269,5424,5269,5388,5387.98656813653,"ETS(A,N,N)"
"27/08/2001",5398,5455,5382,5406,5405.99819762214,"ETS(A,N,N)"
"28/08/2001",5406,5455,5287,5309,5309.00974217372,"ETS(M,N,N)"
"29/08/2001",5291,5347,5240,5305,5305.00040138897,"ETS(A,N,N)"
"30/08/2001",5296,5335,5158,5162,5162.0143336603,"ETS(A,N,N)"
"31/08/2001",5160,5228,5132,5188,5187.99740018576,"ETS(A,N,N)"
"03/09/2001",5196,5205,5063,5094,5094.0094116006,"ETS(A,N,N)"
"04/09/2001",5102,5220,5035,5208,5207.98856359962,"ETS(A,N,N)"
"05/09/2001",5188,5188,5028,5048,5048.01608346678,"ETS(A,N,N)"
"06/09/2001",5059,5110,4849,4875,4875.01731459588,"ETS(A,N,N)"
"07/09/2001",4871,4911,4713,4731,4731.01442870828,"ETS(A,N,N)"
"10/09/2001",4725,4758,4528,4670,4670.00610153784,"ETS(A,N,N)"
"12/09/2001",4260,4404,4160,4370,4243.87106051207,"ETS(A,A,N)"
"13/09/2001",4343,4397,4278,4392,4345.54121793641,"ETS(A,A,N)"
"14/09/2001",4386,4441,4116,4116,3999.46232585829,"ETS(A,A,N)"
"17/09/2001",4121,4301,3984,4244,4179.7101748854,"ETS(A,A,N)"
"18/09/2001",4238,4238,4122,4195,4143.92923557201,"ETS(A,A,N)"
"19/09/2001",4196,4285,4015,4042,3996.79843337643,"ETS(A,A,N)"
"20/09/2001",4045,4110,3778,3810,3731.33130880116,"ETS(A,A,N)"
"21/09/2001",3805,3826,3539,3787,3685.01078126845,"ETS(A,A,N)"
"24/09/2001",3793,4056,3793,4039,4038.97471759329,"ETS(A,N,N)"
"25/09/2001",4035,4136,3949,4009,4009.00304117351,"ETS(A,N,N)"
"26/09/2001",4014,4186,4014,4095,4094.99139404296,"ETS(A,N,N)"
"27/09/2001",4095,4185,4048,4185,4184.9909805211,"ETS(A,N,N)"
"28/09/2001",4197,4318,4197,4308,4307.98764185315,"ETS(A,N,N)"
"01/10/2001",4315,4316,4184,4240,4240.00681765896,"ETS(A,N,N)"
"02/10/2001",4240,4304,4158,4304,4303.99359835399,"ETS(A,N,N)"
"03/10/2001",4304,4442,4181,4437,4436.9865973048,"ETS(A,N,N)"
"04/10/2001",4440,4550,4415,4548,4547.98881884889,"ETS(A,N,N)"
"05/10/2001",4538,4592,4441,4488,4488.00612030238,"ETS(A,N,N)"
"08/10/2001",4469,4505,4331,4495,4494.99929934081,"ETS(A,N,N)"
"09/10/2001",4488,4546,4437,4472,4472.00230135608,"ETS(A,N,N)"
"10/10/2001",4472,4623,4422,4613,4612.98589802419,"ETS(A,N,N)"
"11/10/2001",4628,4742,4617,4718,4717.98949851628,"ETS(A,N,N)"
"12/10/2001",4721,4725,4581,4625,4625.00935088325,"ETS(A,N,N)"
"15/10/2001",4620,4624,4497,4548,4548.0077909578,"ETS(A,N,N)"
"16/10/2001",4542,4637,4511,4626,4625.99219822401,"ETS(A,N,N)"
"17/10/2001",4634,4780,4610,4645,4646.69336194027,"ETS(A,Ad,N)"
"18/10/2001",4628,4628,4494,4574,4574.00716640613,"ETS(A,N,N)"
"19/10/2001",4581,4591,4446,4514,4514.00600798194,"ETS(A,N,N)"
"22/10/2001",4518,4633,4480,4619,4618.98949020273,"ETS(A,N,N)"
"23/10/2001",4629,4736,4629,4704,4703.99124114069,"ETS(A,N,N)"
"24/10/2001",4689,4841,4652,4812,4811.98900832834,"ETS(A,N,N)"
"25/10/2001",4805,4874,4651,4716,4716.00960469168,"ETS(A,N,N)"
"26/10/2001",4719,4820,4719,4820,4819.98942717208,"ETS(A,N,N)"
"29/10/2001",4813,4813,4660,4660,4660.01602756627,"ETS(A,N,N)"
"30/10/2001",4659,4659,4477,4544,4544.01161480836,"ETS(A,N,N)"
"31/10/2001",4527,4626,4458,4559,4558.99849932565,"ETS(A,N,N)"
"01/11/2001",4557,4637,4482,4636,4700.61979442845,"ETS(M,Md,N)"
"02/11/2001",4641,4658,4569,4583,4683.52462109053,"ETS(M,Md,N)"
"05/11/2001",4589,4755,4589,4755,4692.62835913861,"ETS(M,Md,N)"
"06/11/2001",4768,4820,4708,4708,4689.2622840564,"ETS(M,Md,N)"
"07/11/2001",4715,4863,4676,4861,4855.11173803042,"ETS(M,N,N)"
"08/11/2001",4851,5006,4834,4994,4991.77725154022,"ETS(M,N,N)"
"09/11/2001",4991,4991,4886,4910,4911.63311489189,"ETS(M,N,N)"
"12/11/2001",4908,4910,4649,4820,4820.00945429633,"ETS(M,N,N)"
"13/11/2001",4826,4970,4822,4947,4937.29553585775,"ETS(M,N,N)"
"14/11/2001",4951,5047,4940,4954,4949.75794502265,"ETS(M,N,N)"
"15/11/2001",4961,5073,4961,5006,4999.40154600382,"ETS(M,N,N)"
"16/11/2001",5016,5114,4989,5063,5056.78220728465,"ETS(M,N,N)"
"19/11/2001",5072,5194,5072,5185,5176.95200420352,"ETS(M,N,N)"
"20/11/2001",5187,5212,5017,5096,5103.83728386031,"ETS(A,N,N)"
"21/11/2001",5091,5152,5041,5087,5090.07674672689,"ETS(A,N,N)"
"22/11/2001",5090,5144,5084,5125,5120.87535715695,"ETS(A,N,N)"
"23/11/2001",5132,5160,5031,5151,5146.78455528931,"ETS(A,N,N)"
"26/11/2001",5160,5217,5106,5114,5117.93006554065,"ETS(A,N,N)"
"27/11/2001",5118,5148,4969,5060,5066.36593422716,"ETS(A,N,N)"
"28/11/2001",5031,5031,4915,4916,4925.84996933587,"ETS(A,N,N)"
"29/11/2001",4898,4975,4874,4936,4935.37520399647,"ETS(A,N,N)"
"30/11/2001",4954,5042,4954,4990,4986.65403942516,"ETS(A,N,N)"
"03/12/2001",4987,4996,4872,4988,4987.40308643281,"ETS(A,N,N)"
"04/12/2001",4989,5040,4978,5014,5010.10919663379,"ETS(A,N,N)"
"05/12/2001",5020,5282,5020,5263,5242.81011585393,"ETS(A,N,N)"
"06/12/2001",5258,5342,5241,5271,5270.71460252503,"ETS(A,N,N)"
"07/12/2001",5277,5298,5199,5199,5199.00721231277,"ETS(A,N,N)"
"10/12/2001",5201,5213,5113,5125,5125.77814846616,"ETS(A,N,N)"
"11/12/2001",5122,5169,5075,5146,5145.82520474419,"ETS(A,N,N)"
"12/12/2001",5149,5194,5028,5063,5064.85079931162,"ETS(A,N,N)"
"13/12/2001",5054,5097,4948,4966,4966.00990280783,"ETS(A,N,N)"
"14/12/2001",4957,4984,4901,4909,4909.00575681849,"ETS(A,N,N)"
"17/12/2001",4914,5098,4905,5068,5067.98407660281,"ETS(A,N,N)"
"18/12/2001",5062,5116,5038,5040,5040.00286314995,"ETS(A,N,N)"
"19/12/2001",5036,5061,4948,4985,4985.00550759244,"ETS(A,N,N)"
"20/12/2001",4991,5027,4925,4934,4934.00514943678,"ETS(A,N,N)"
"21/12/2001",4930,5025,4878,5019,5018.99139490249,"ETS(A,N,N)"
"27/12/2001",5033,5117,5033,5117,5116.9901988007,"ETS(A,N,N)"
"28/12/2001",5110,5176,5110,5160,5159.99569825303,"ETS(A,N,N)"
"02/01/2002",5155,5196,5107,5168,5167.99919622518,"ETS(A,N,N)"
"03/01/2002",5175,5288,5175,5270,5269.9897996678,"ETS(A,N,N)"
"04/01/2002",5292,5352,5263,5319,5318.99509224232,"ETS(A,N,N)"
"07/01/2002",5327,5347,5221,5232,5232.00874701424,"ETS(A,N,N)"
"08/01/2002",5211,5261,5185,5236,5235.99959892908,"ETS(A,N,N)"
"09/01/2002",5228,5304,5180,5288,5287.99479866019,"ETS(A,N,N)"
"10/01/2002",5266,5266,5172,5228,5228.0060034794,"ETS(A,N,N)"
"11/01/2002",5228,5270,5188,5210,5210.0018062641,"ETS(A,N,N)"
"14/01/2002",5206,5206,5056,5066,5066.01447057779,"ETS(A,N,N)"
"15/01/2002",5060,5108,5029,5062,5062.00040173968,"ETS(A,N,N)"
"16/01/2002",5050,5053,4975,4984,4984.00780080984,"ETS(A,N,N)"
"17/01/2002",4985,5136,4985,5133,5132.98499129423,"ETS(A,N,N)"
"18/01/2002",5118,5134,5065,5122,5122.00112084742,"ETS(A,N,N)"
"21/01/2002",5122,5122,5021,5070,5070.00528292986,"ETS(A,N,N)"
"22/01/2002",5070,5136,5029,5046,5046.00240083846,"ETS(A,N,N)"
"23/01/2002",5049,5170,5006,5163,5162.98803397727,"ETS(A,N,N)"
"24/01/2002",5169,5220,5147,5170,5169.999293904,"ETS(A,N,N)"
"25/01/2002",5169,5170,5082,5157,5157.11123105629,"ETS(A,N,N)"
"28/01/2002",5157,5204,5129,5159,5158.99978574057,"ETS(A,N,N)"
"29/01/2002",5165,5206,5073,5085,5085.00753645242,"ETS(A,N,N)"
"30/01/2002",5066,5066,4981,5052,5053.41738530214,"ETS(A,N,N)"
