"Date","Open","High","Low","Close","a"
"31/07/2001",5802,5861,5754,5861,5863.70967741936
"01/08/2001",5860,5860,5813,5835,5860.87096774194
"02/08/2001",5846,5930,5764,5777,5857.67741935484
"03/08/2001",5777,5809,5736,5736,5851.54838709677
"06/08/2001",5734,5803,5708,5746,5845.22580645161
"07/08/2001",5747,5783,5689,5753,5840.41935483871
"08/08/2001",5749,5749,5609,5615,5832.90322580645
"09/08/2001",5596,5596,5468,5512,5822.54838709677
"10/08/2001",5523,5570,5387,5433,5805.16129032258
"13/08/2001",5441,5500,5401,5454,5785.67741935484
"14/08/2001",5466,5569,5466,5521,5766.67741935484
"15/08/2001",5521,5531,5429,5455,5747.25806451613
"16/08/2001",5454,5454,5334,5362,5726.16129032258
"17/08/2001",5370,5416,5174,5222,5701.09677419355
"20/08/2001",5220,5266,5125,5208,5680
"21/08/2001",5215,5252,5170,5216,5658.90322580645
"22/08/2001",5204,5323,5142,5220,5639.67741935484
"23/08/2001",5233,5280,5187,5254,5622
"24/08/2001",5269,5424,5269,5388,5605.8064516129
"27/08/2001",5398,5455,5382,5406,5588.96774193548
"28/08/2001",5406,5455,5287,5309,5571.38709677419
"29/08/2001",5291,5347,5240,5305,5553.90322580645
"30/08/2001",5296,5335,5158,5162,5535.64516129032
"31/08/2001",5160,5228,5132,5188,5514.93548387097
"03/09/2001",5196,5205,5063,5094,5493.32258064516
"04/09/2001",5102,5220,5035,5208,5474.48387096774
"05/09/2001",5188,5188,5028,5048,5454.64516129032
"06/09/2001",5059,5110,4849,4875,5431.8064516129
"07/09/2001",4871,4911,4713,4731,5401.32258064516
"10/09/2001",4725,4758,4528,4670,5366.32258064516
"12/09/2001",4260,4404,4160,4370,5320.45161290323
"13/09/2001",4343,4397,4278,4392,5273.06451612903
"14/09/2001",4386,4441,4116,4116,5217.61290322581
"17/09/2001",4121,4301,3984,4244,5168.16129032258
"18/09/2001",4238,4238,4122,4195,5118.45161290323
"19/09/2001",4196,4285,4015,4042,5063.48387096774
"20/09/2001",4045,4110,3778,3810,5000.8064516129
"21/09/2001",3805,3826,3539,3787,4941.83870967742
"24/09/2001",3793,4056,3793,4039,4894.32258064516
"25/09/2001",4035,4136,3949,4009,4848.38709677419
"26/09/2001",4014,4186,4014,4095,4804.54838709677
"27/09/2001",4095,4185,4048,4185,4761.45161290323
"28/09/2001",4197,4318,4197,4308,4724.45161290323
"01/10/2001",4315,4316,4184,4240,4688.25806451613
"02/10/2001",4240,4304,4158,4304,4658.64516129032
"03/10/2001",4304,4442,4181,4437,4633.77419354839
"04/10/2001",4440,4550,4415,4548,4612.22580645161
"05/10/2001",4538,4592,4441,4488,4588.61290322581
"08/10/2001",4469,4505,4331,4495,4564.12903225806
"09/10/2001",4488,4546,4437,4472,4534.58064516129
"10/10/2001",4472,4623,4422,4613,4509
"11/10/2001",4628,4742,4617,4718,4489.93548387097
"12/10/2001",4721,4725,4581,4625,4468
"15/10/2001",4620,4624,4497,4548,4448.1935483871
"16/10/2001",4542,4637,4511,4626,4430.06451612903
"17/10/2001",4634,4780,4610,4645,4415.58064516129
"18/10/2001",4628,4628,4494,4574,4395.12903225806
"19/10/2001",4581,4591,4446,4514,4377.90322580645
"22/10/2001",4518,4633,4480,4619,4369.64516129032
"23/10/2001",4629,4736,4629,4704,4368.77419354839
"24/10/2001",4689,4841,4652,4812,4373.35483870968
"25/10/2001",4805,4874,4651,4716,4384.51612903226
"26/10/2001",4719,4820,4719,4820,4398.32258064516
"29/10/2001",4813,4813,4660,4660,4415.87096774194
"30/10/2001",4659,4659,4477,4544,4425.54838709677
"31/10/2001",4527,4626,4458,4559,4437.29032258064
"01/11/2001",4557,4637,4482,4636,4456.45161290323
"02/11/2001",4641,4658,4569,4583,4481.38709677419
"05/11/2001",4589,4755,4589,4755,4512.61290322581
"06/11/2001",4768,4820,4708,4708,4534.1935483871
"07/11/2001",4715,4863,4676,4861,4561.67741935484
"08/11/2001",4851,5006,4834,4994,4590.67741935484
"09/11/2001",4991,4991,4886,4910,4614.06451612903
"12/11/2001",4908,4910,4649,4820,4630.58064516129
"13/11/2001",4826,4970,4822,4947,4653.38709677419
"14/11/2001",4951,5047,4940,4954,4674.35483870968
"15/11/2001",4961,5073,4961,5006,4692.70967741936
"16/11/2001",5016,5114,4989,5063,4709.32258064516
"19/11/2001",5072,5194,5072,5185,4731.8064516129
"20/11/2001",5187,5212,5017,5096,4751.1935483871
"21/11/2001",5091,5152,5041,5087,4771.03225806452
"22/11/2001",5090,5144,5084,5125,4787.54838709677
"23/11/2001",5132,5160,5031,5151,4801.51612903226
"26/11/2001",5160,5217,5106,5114,4817.29032258064
"27/11/2001",5118,5148,4969,5060,4833.8064516129
"28/11/2001",5031,5031,4915,4916,4843.16129032258
"29/11/2001",4898,4975,4874,4936,4852.54838709677
"30/11/2001",4954,5042,4954,4990,4865.96774193548
"03/12/2001",4987,4996,4872,4988,4881.25806451613
"04/12/2001",4989,5040,4978,5014,4894
"05/12/2001",5020,5282,5020,5263,4912.03225806452
"06/12/2001",5258,5342,5241,5271,4926.83870967742
"07/12/2001",5277,5298,5199,5199,4942.41935483871
"10/12/2001",5201,5213,5113,5125,4952.25806451613
"11/12/2001",5122,5169,5075,5146,4967.93548387097
"12/12/2001",5149,5194,5028,5063,4984.67741935484
"13/12/2001",5054,5097,4948,4966,4997.8064516129
"14/12/2001",4957,4984,4901,4909,5006.61290322581
"17/12/2001",4914,5098,4905,5068,5022.25806451613
"18/12/2001",5062,5116,5038,5040,5031.45161290323
"19/12/2001",5036,5061,4948,4985,5040.38709677419
"20/12/2001",4991,5027,4925,4934,5042.74193548387
"21/12/2001",4930,5025,4878,5019,5043.54838709677
"27/12/2001",5033,5117,5033,5117,5050.22580645161
"28/12/2001",5110,5176,5110,5160,5061.1935483871
"02/01/2002",5155,5196,5107,5168,5068.32258064516
"03/01/2002",5175,5288,5175,5270,5078.51612903226
"04/01/2002",5292,5352,5263,5319,5088.61290322581
"07/01/2002",5327,5347,5221,5232,5094.06451612903
"08/01/2002",5211,5261,5185,5236,5095.70967741936
"09/01/2002",5228,5304,5180,5288,5101.90322580645
"10/01/2002",5266,5266,5172,5228,5106.45161290323
"11/01/2002",5228,5270,5188,5210,5109.1935483871
"14/01/2002",5206,5206,5056,5066,5106.45161290323
"15/01/2002",5060,5108,5029,5062,5104.77419354839
"16/01/2002",5050,5053,4975,4984,5102.32258064516
"17/01/2002",4985,5136,4985,5133,5109.32258064516
"18/01/2002",5118,5134,5065,5122,5115.32258064516
"21/01/2002",5122,5122,5021,5070,5117.90322580645
"22/01/2002",5070,5136,5029,5046,5119.77419354839
"23/01/2002",5049,5170,5006,5163,5124.58064516129
"24/01/2002",5169,5220,5147,5170,5121.58064516129
"25/01/2002",5169,5170,5082,5157,5117.90322580645
"28/01/2002",5157,5204,5129,5159,5116.61290322581
"29/01/2002",5165,5206,5073,5085,5115.32258064516
"30/01/2002",5066,5066,4981,5052,5112.29032258064
"31/01/2002",5069,5120,5054,5108,5113.74193548387
"01/02/2002",5109,5166,5082,5097,5117.96774193548
"04/02/2002",5089,5093,4984,4984,5120.38709677419
"05/02/2002",4981,4981,4870,4937,5116.16129032258
"06/02/2002",4937,4946,4778,4804,5108.54838709677
"07/02/2002",4798,4874,4731,4863,5104.61290322581
"08/02/2002",4850,4897,4807,4836,5101.45161290323
"11/02/2002",4845,4945,4845,4940,5098.90322580645
"12/02/2002",4946,4976,4859,4885,5091.41935483871
"13/02/2002",4891,4946,4834,4935,5084.16129032258
"14/02/2002",4945,4993,4917,4974,5077.90322580645
"15/02/2002",4968,4970,4856,4863,5064.77419354839
"18/02/2002",4866,4894,4841,4872,5050.35483870968
"19/02/2002",4856,4856,4758,4764,5035.25806451613
"20/02/2002",4766,4803,4706,4780,5020.54838709677
"21/02/2002",4798,4868,4788,4851,5006.45161290323
"22/02/2002",4847,4847,4730,4746,4990.90322580645
"25/02/2002",4759,4867,4731,4864,4979.74193548387
"26/02/2002",4863,4937,4860,4898,4974.32258064516
"27/02/2002",4913,5004,4913,4960,4971.03225806452
"28/02/2002",4945,5072,4927,5039,4972.8064516129
"01/03/2002",5026,5116,5003,5097,4971.64516129032
"04/03/2002",5108,5265,5108,5246,4975.64516129032
"05/03/2002",5246,5284,5209,5229,4980.77419354839
"06/03/2002",5224,5297,5197,5285,4988.48387096774
"07/03/2002",5293,5370,5268,5289,4992.54838709677
"08/03/2002",5293,5376,5289,5360,4998.67741935484
"11/03/2002",5360,5401,5298,5341,5004.61290322581
"12/03/2002",5339,5339,5245,5276,5008.38709677419
"13/03/2002",5277,5335,5239,5246,5013.58064516129
"14/03/2002",5246,5293,5234,5277,5020.83870967742
"15/03/2002",5271,5403,5253,5401,5030.29032258064
"18/03/2002",5399,5465,5392,5426,5040.90322580645
"19/03/2002",5431,5467,5413,5463,5056.35483870968
"20/03/2002",5454,5454,5355,5365,5070.16129032258
"21/03/2002",5357,5388,5312,5349,5087.74193548387
"22/03/2002",5348,5402,5331,5366,5103.96774193548
"25/03/2002",5361,5400,5306,5317,5119.48387096774
"26/03/2002",5314,5399,5290,5391,5134.03225806452
"27/03/2002",5385,5389,5333,5348,5148.96774193548
"28/03/2002",5350,5425,5350,5397,5163.87096774194
"02/04/2002",5380,5380,5290,5311,5174.74193548387
"03/04/2002",5293,5323,5266,5282,5188.25806451613
"04/04/2002",5284,5290,5212,5255,5200.61290322581
"05/04/2002",5250,5293,5235,5261,5216.64516129032
"08/04/2002",5261,5261,5128,5180,5229.54838709677
"09/04/2002",5194,5228,5166,5170,5239.83870967742
