"Date","Open","High","Low","Close","a"
"02/08/2001",10513.47,10663.07,10454.53,10551.18,10478.8129032258
"03/08/2001",10550.01,10592.98,10381.1,10512.78,10474.4725806452
"06/08/2001",10504.13,10549.59,10337.23,10401.31,10464.3396774194
"07/08/2001",10399.03,10520.11,10324.5,10458.74,10459.6348387097
"08/08/2001",10456.18,10509.8,10245.68,10293.5,10452.8374193548
"09/08/2001",10291.15,10361.52,10160.51,10298.56,10447.2270967742
"10/08/2001",10296.89,10473.34,10164.67,10416.25,10446.6274193548
"13/08/2001",10411.9,10504.82,10314.95,10415.91,10441.7790322581
"14/08/2001",10416.95,10513.68,10333.29,10412.17,10438.8683870968
"15/08/2001",10407.05,10530.36,10289.01,10345.95,10430.8758064516
"16/08/2001",10342.1,10460.82,10198.15,10392.52,10425.1148387097
"17/08/2001",10385.46,10418.68,10143.49,10240.78,10417.4025806452
"20/08/2001",10239.33,10388.23,10146.05,10320.07,10419.5764516129
"21/08/2001",10320.07,10436.39,10132.92,10174.14,10415.5358064516
"22/08/2001",10170.3,10340.76,10099.07,10276.9,10418.8022580645
"23/08/2001",10276.41,10357.09,10142.66,10229.15,10418.4193548387
"24/08/2001",10232.48,10487.52,10190.34,10423.17,10416.6187096774
"27/08/2001",10422.76,10498.03,10334.88,10382.35,10411.5635483871
"28/08/2001",10382.56,10405.88,10175.6,10222.03,10403.4961290323
"29/08/2001",10224.45,10292.6,10030.43,10090.9,10386.8674193548
"30/08/2001",10077.07,10149.1,9829.35,9919.58,10365.8916129032
"31/08/2001",9918.96,10072.22,9846.72,9949.75,10344.5932258065
"04/09/2001",9946.98,10238.5,9858.34,9997.49,10325.9106451613
"05/09/2001",9998.12,10140.79,9820.98,10033.27,10313.2929032258
"06/09/2001",10028.35,10053.73,9762.03,9840.84,10300.3806451613
"07/09/2001",9841.25,9842.08,9507.04,9605.85,10274.58
"10/09/2001",9603.36,9740.44,9431.07,9605.51,10247.1567741935
"17/09/2001",9294.55,9294.55,8755.46,8920.7,10198.8996774194
"18/09/2001",8922.7,9126.89,8743.91,8903.4,10150.5667741935
"19/09/2001",8903.54,8990.37,8453.01,8759.13,10093.6738709677
"20/09/2001",8375.72,8711.38,8304.45,8376.21,10024.8416129032
"21/09/2001",8356.56,8484.22,7926.93,8235.81,9950.15225806452
"24/09/2001",8242.32,8733.39,8242.32,8603.86,9888.57419354839
"25/09/2001",8605.59,8778.23,8435.56,8659.97,9832.40193548387
"26/09/2001",8660.06,8766.81,8457.37,8567.39,9771.39064516129
"27/09/2001",8567.46,8757.47,8398.14,8681.42,9719.38806451613
"28/09/2001",8679.07,8945.68,8633.75,8847.56,9672.58161290323
"01/10/2001",8845.97,8931.7,8659.9,8836.83,9621.63258064516
"02/10/2001",8836.69,9001.03,8737.61,8950.59,9574.36419354839
"03/10/2001",8946.02,9193.32,8800.99,9123.78,9532.80322580645
"04/10/2001",9127.24,9259.61,8982.28,9060.88,9491.34935483871
"05/10/2001",9058.83,9208.41,8894.47,9119.77,9450.29290322581
"08/10/2001",9115.75,9187.85,8937.86,9067.94,9412.45935483871
"09/10/2001",9066.56,9168.42,8927.34,9052.44,9371.56806451613
"10/10/2001",9052.3,9305.97,8975.15,9240.86,9341.46225806452
"11/10/2001",9242.63,9522.61,9204.04,9410.45,9313.51225806452
"12/10/2001",9409.07,9426.3,9146.34,9344.16,9284.96419354839
"15/10/2001",9340.84,9417.51,9181.07,9347.62,9250.26903225806
"16/10/2001",9346.31,9479.37,9239.68,9384.23,9218.07161290323
"17/10/2001",9389.76,9539.22,9199.89,9232.97,9186.1664516129
"18/10/2001",9230.75,9310.33,9061.02,9163.22,9156.24129032258
"19/10/2001",9162.81,9278.36,9027.74,9204.11,9133.16161290323
"22/10/2001",9203.91,9438.75,9101.08,9377.03,9114.68677419355
"23/10/2001",9379.17,9499.78,9249.02,9340.08,9093.48
"24/10/2001",9341.4,9456.4,9218.29,9345.62,9071.29774193548
"25/10/2001",9342.29,9491.48,9143.09,9462.9,9059.10612903226
"26/10/2001",9462.28,9626.54,9369.35,9545.17,9057.14870967742
"29/10/2001",9543.37,9543.37,9232.83,9269.5,9046.30967741935
"30/10/2001",9264.52,9265.34,9011.96,9121.98,9052.80258064516
"31/10/2001",9123.64,9281.68,9018.26,9075.14,9058.34258064516
"01/11/2001",9087.45,9320.77,8987.61,9263.9,9074.62548387097
"02/11/2001",9264.52,9406.93,9152.91,9323.54,9105.18451612903
"05/11/2001",9326.59,9534.58,9326.59,9441.03,9144.06258064516
"06/11/2001",9437.09,9627.44,9315.79,9591.12,9175.90967741935
"07/11/2001",9584.68,9695.67,9457.99,9554.37,9204.76129032258
"08/11/2001",9558.39,9765,9506.91,9587.52,9237.66870967742
"09/11/2001",9586.96,9692.35,9478.75,9608,9267.55838709677
"12/11/2001",9606.13,9642.25,9347.76,9554.37,9290.35870967742
