Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),UD,id,pred,confidence(U)
11/01/2000,6926.0,6944.0,6821.0,6891.0,145.0,306.0,-27.0,6727.333333333333,6586.0,6521.333333333333,6613.333333333333,6926.0,6781.0,6475.0,0.6020881436049909,D,7.0,D,0.39791185639500914
12/01/2000,6879.0,6914.0,6783.0,6913.0,-35.0,145.0,306.0,6866.0,6727.333333333333,6586.0,6521.333333333333,6891.0,6926.0,6781.0,0.6160224358614291,U,8.0,D,0.3839775641385709
13/01/2000,6913.0,7106.0,6899.0,6956.0,22.0,-35.0,145.0,6910.0,6866.0,6727.333333333333,6586.0,6913.0,6891.0,6926.0,0.6105268171612867,U,9.0,D,0.3894731828387134
14/01/2000,6960.0,7207.0,6960.0,7173.0,43.0,22.0,-35.0,6920.0,6910.0,6866.0,6727.333333333333,6956.0,6913.0,6891.0,0.6064384629273498,U,10.0,D,0.39356153707265024
17/01/2000,7177.0,7297.0,7113.0,7259.0,217.0,43.0,22.0,7014.0,6920.0,6910.0,6866.0,7173.0,6956.0,6913.0,0.6074114443903215,U,11.0,D,0.39258855560967854
18/01/2000,7262.0,7306.0,7054.0,7072.0,86.0,217.0,43.0,7129.333333333333,7014.0,6920.0,6910.0,7259.0,7173.0,6956.0,0.6053735964164662,D,12.0,D,0.3946264035835339
19/01/2000,7065.0,7110.0,6987.0,7091.0,-187.0,86.0,217.0,7168.0,7129.333333333333,7014.0,6920.0,7072.0,7259.0,7173.0,0.6094493718747399,U,13.0,D,0.39055062812526004
20/01/2000,7096.0,7231.0,7077.0,7113.0,19.0,-187.0,86.0,7140.666666666667,7168.0,7129.333333333333,7014.0,7091.0,7072.0,7259.0,0.6047986210705976,U,14.0,D,0.39520137892940244
21/01/2000,7104.0,7104.0,6940.0,6993.0,22.0,19.0,-187.0,7092.0,7140.666666666667,7168.0,7129.333333333333,7113.0,7091.0,7072.0,0.5950141473155512,D,15.0,D,0.4049858526844488
24/01/2000,6988.0,7093.0,6922.0,6932.0,-120.0,22.0,19.0,7065.666666666667,7092.0,7140.666666666667,7168.0,6993.0,7113.0,7091.0,0.5985218018720828,D,16.0,D,0.4014781981279172
25/01/2000,6928.0,6928.0,6810.0,6810.0,-61.0,-120.0,22.0,7012.666666666667,7065.666666666667,7092.0,7140.666666666667,6932.0,6993.0,7113.0,0.5952462675392123,D,17.0,D,0.40475373246078766
26/01/2000,6838.0,6981.0,6838.0,6969.0,-122.0,-61.0,-120.0,6911.666666666667,7012.666666666667,7065.666666666667,7092.0,6810.0,6932.0,6993.0,0.5916560115872341,U,18.0,D,0.4083439884127659
