"","Date","Open","High","Low","Close","Volume","Adj.Close","prevHigh","prevLow","Long","Short"
"1","04/01/2000",6930.2,6930.2,6662.9,6662.9,0,6662.9,NA,NA,NA,NA
"2","05/01/2000",6665.9,6665.9,6500.4,6535.9,0,6535.9,6930.2,6662.9,NA,127
"3","06/01/2000",6535.9,6547.3,6424.4,6447.2,0,6447.2,6665.9,6500.4,NA,53.1999999999998
"4","07/01/2000",6477.2,6532.4,6438.8,6504.8,0,6504.8,6547.3,6424.4,NA,NA
"5","10/01/2000",6504.8,6634.2,6504.8,6607.7,0,6607.7,6532.4,6438.8,75.3000000000002,NA
"6","11/01/2000",6607.7,6638.1,6510.8,6518.9,0,6518.9,6634.2,6504.8,-50,NA
"7","12/01/2000",6518.9,6532.8,6470.3,6532.8,0,6532.8,6638.1,6510.8,NA,-22
"8","13/01/2000",6532.8,6596.5,6509.4,6531.5,0,6531.5,6532.8,6470.3,-1.30000000000018,NA
"9","14/01/2000",6531.5,6666.8,6531.5,6658.2,0,6658.2,6596.5,6509.4,61.6999999999998,NA
"10","17/01/2000",6658.2,6694.3,6638.3,6669.5,0,6669.5,6666.8,6531.5,2.69999999999982,NA
"11","18/01/2000",6669.5,6695.9,6491.5,6504.6,0,6504.6,6694.3,6638.3,-50,133.7
"12","19/01/2000",6504.6,6505.9,6434.4,6445.4,0,6445.4,6695.9,6491.5,NA,46.1000000000004
"13","20/01/2000",6445.4,6492.7,6328.3,6348.7,0,6348.7,6505.9,6434.4,NA,85.6999999999998
"14","21/01/2000",6348.7,6374.7,6287.1,6346.3,0,6346.3,6492.7,6328.3,NA,-18
"15","24/01/2000",6346.3,6480.4,6346.3,6379.8,0,6379.8,6374.7,6287.1,5.10000000000036,NA
"16","25/01/2000",6379.8,6379.8,6262.9,6274.1,0,6274.1,6480.4,6346.3,NA,72.1999999999998
"17","26/01/2000",6274.1,6380,6270.4,6375.6,0,6375.6,6379.8,6262.9,-4.19999999999982,NA
"18","27/01/2000",6375.6,6451.6,6375.6,6441,0,6441,6380,6270.4,61,NA
"19","28/01/2000",6441,6475.1,6354.8,6375.6,0,6375.6,6451.6,6375.6,-50,0
"20","31/01/2000",6375.6,6375.6,6246.8,6268.5,0,6268.5,6475.1,6354.8,NA,86.3000000000002
"21","01/02/2000",6268.5,6367.1,6231.9,6290.9,0,6290.9,6375.6,6246.8,NA,-44.0999999999995
"22","02/02/2000",6290.9,6345.2,6241.6,6302.8,0,6302.8,6367.1,6231.9,NA,NA
"23","03/02/2000",6302.8,6393.5,6251.6,6324.3,0,6324.3,6345.2,6241.6,-20.8999999999996,NA
"24","04/02/2000",6324.3,6364.9,6171.2,6185,0,6185,6393.5,6251.6,NA,66.6000000000004
"25","07/02/2000",6185,6232.1,6100.7,6118.6,0,6118.6,6364.9,6171.2,NA,52.5999999999995
"26","08/02/2000",6118.6,6295.7,6117.3,6285.8,0,6285.8,6232.1,6100.7,53.6999999999998,NA
"27","09/02/2000",6285.8,6450.9,6271.5,6315.4,0,6315.4,6295.7,6117.3,19.6999999999998,NA
"28","10/02/2000",6315.4,6320,6199.8,6279.8,0,6279.8,6450.9,6271.5,NA,-8.30000000000018
"29","11/02/2000",6279.8,6325.7,6127.4,6193.3,0,6193.3,6320,6199.8,-50,6.5
"30","14/02/2000",6193.3,6197.5,6027.5,6068.6,0,6068.6,6325.7,6127.4,NA,58.7999999999993
"31","15/02/2000",6068.6,6167.5,5972.7,6005.2,0,6005.2,6197.5,6027.5,NA,22.3000000000002
"32","16/02/2000",6005.2,6147.4,6002.5,6147.4,0,6147.4,6167.5,5972.7,NA,NA
"33","17/02/2000",6147.4,6262.2,6102.9,6209.3,0,6209.3,6147.4,6002.5,61.9000000000005,NA
"34","18/02/2000",6209.3,6264.1,6151.4,6165,0,6165,6262.2,6102.9,-50,NA
"35","21/02/2000",6165,6193.6,6029.9,6081.6,0,6081.6,6264.1,6151.4,NA,69.7999999999993
"36","22/02/2000",6081.6,6172.8,6002.7,6014.7,0,6014.7,6193.6,6029.9,NA,15.1999999999998
"37","23/02/2000",6014.7,6167.3,6014.7,6144.1,0,6144.1,6172.8,6002.7,NA,NA
"38","24/02/2000",6144.1,6288.8,6070.9,6086.7,0,6086.7,6167.3,6014.7,-50,NA
"39","25/02/2000",6086.7,6198,6086.4,6198,0,6198,6288.8,6070.9,NA,NA
"40","28/02/2000",6198,6271.1,6054.1,6099.6,0,6099.6,6198,6086.4,-50,-13.2000000000007
"41","29/02/2000",6099.6,6245.5,6099.6,6232.6,0,6232.6,6271.1,6054.1,NA,NA
"42","01/03/2000",6232.6,6387.3,6232.6,6364.9,0,6364.9,6245.5,6099.6,119.4,NA
"43","02/03/2000",6364.9,6436.5,6324.2,6432.1,0,6432.1,6387.3,6232.6,44.8000000000002,NA
"44","03/03/2000",6432.1,6506.3,6403,6487.5,0,6487.5,6436.5,6324.2,51,NA
"45","06/03/2000",6487.5,6593.3,6457,6567.8,0,6567.8,6506.3,6403,61.5,NA
"46","07/03/2000",6567.8,6568.3,6465.5,6466.5,0,6466.5,6593.3,6457,NA,NA
"47","08/03/2000",6466.5,6479.7,6387.2,6411.2,0,6411.2,6568.3,6465.5,NA,54.3000000000002
"48","09/03/2000",6411.2,6544.2,6411.2,6532.1,0,6532.1,6479.7,6387.2,52.4000000000005,NA
"49","10/03/2000",6532.1,6642.5,6532.1,6568.7,0,6568.7,6544.2,6411.2,24.5,NA
"50","13/03/2000",6380.6,6566.6,6380.6,6466.9,0,6466.9,6642.5,6532.1,NA,65.2000000000007
"51","14/03/2000",6466.9,6539.7,6457.1,6487.1,0,6487.1,6566.6,6380.6,NA,NA
"52","15/03/2000",6487.1,6487.1,6396.1,6447,0,6447,6539.7,6457.1,NA,10.1000000000004
"53","16/03/2000",6447,6618.2,6447,6557.2,0,6557.2,6487.1,6396.1,70.0999999999995,NA
"54","17/03/2000",6557.2,6713.1,6504.1,6558,0,6558,6618.2,6447,-50,NA
"55","20/03/2000",6558,6653.4,6523.3,6626.5,0,6626.5,6713.1,6504.1,NA,NA
"56","21/03/2000",6624.5,6630.6,6543.4,6617.9,0,6617.9,6653.4,6523.3,NA,NA
"57","22/03/2000",6617.9,6692.3,6551.7,6609.6,0,6609.6,6630.6,6543.4,-21,NA
"58","23/03/2000",6609.6,6617.8,6538.7,6594.6,0,6594.6,6692.3,6551.7,NA,-42.9000000000005
"59","24/03/2000",6594.6,6755.1,6594.6,6738.5,0,6738.5,6617.8,6538.7,120.7,NA
"60","27/03/2000",6738.5,6770.4,6654.4,6687.2,0,6687.2,6755.1,6594.6,-50,NA
"61","28/03/2000",6687.2,6734.9,6623.7,6650.1,0,6650.1,6770.4,6654.4,NA,4.29999999999927
"62","29/03/2000",6650.4,6657.3,6570.3,6598.8,0,6598.8,6734.9,6623.7,NA,24.8999999999996
"63","30/03/2000",6598.8,6598.8,6418.5,6445.2,0,6445.2,6657.3,6570.3,NA,125.1
"64","31/03/2000",6445.2,6557.4,6385.8,6540.2,0,6540.2,6598.8,6418.5,NA,-50
"65","03/04/2000",6540.2,6540.2,6437.9,6462.1,0,6462.1,6557.4,6385.8,NA,NA
"66","04/04/2000",6462.1,6531.3,6415.5,6427,0,6427,6540.2,6437.9,NA,10.8999999999996
"67","05/04/2000",6427,6428.5,6283.2,6379.3,0,6379.3,6531.3,6415.5,NA,36.1999999999998
"68","06/04/2000",6379.3,6464.9,6353.8,6451.1,0,6451.1,6428.5,6283.2,22.6000000000004,NA
"69","07/04/2000",6451.1,6586.3,6451.1,6569.9,0,6569.9,6464.9,6353.8,105,NA
"70","10/04/2000",6569.9,6579.6,6510.4,6533.4,0,6533.4,6586.3,6451.1,NA,NA
"71","11/04/2000",6533.4,6534,6358.4,6379.2,0,6379.2,6579.6,6510.4,NA,131.2
"72","12/04/2000",6379.2,6443.5,6333.6,6350.8,0,6350.8,6534,6358.4,NA,7.59999999999945
"73","13/04/2000",6350.8,6381.9,6268.4,6357,0,6357,6443.5,6333.6,NA,-23.3999999999996
"74","14/04/2000",6357,6359.1,6149.8,6178.1,0,6178.1,6381.9,6268.4,NA,90.2999999999993
"75","17/04/2000",6178.1,6178.1,5915.2,5994.6,0,5994.6,6359.1,6149.8,NA,155.2
"76","18/04/2000",5994.6,6084.2,5951.7,6074,0,6074,6178.1,5915.2,NA,NA
"77","19/04/2000",6074,6193.6,6074,6184.9,0,6184.9,6084.2,5951.7,100.7,NA
"78","20/04/2000",6184.9,6248.1,6134.4,6241.2,0,6241.2,6193.6,6074,47.5999999999995,NA
"79","25/04/2000",6241.2,6313.8,6155.7,6283,0,6283,6248.1,6134.4,34.8999999999996,NA
"80","26/04/2000",6283,6342.2,6247,6256.5,0,6256.5,6313.8,6155.7,-50,NA
"81","27/04/2000",6256.5,6306.2,6127.9,6179.3,0,6179.3,6342.2,6247,NA,67.6999999999998
"82","28/04/2000",6179.3,6341.9,6179.3,6327.4,0,6327.4,6306.2,6127.9,21.1999999999998,NA
"83","02/05/2000",6327.4,6412.6,6311.9,6373.4,0,6373.4,6341.9,6179.3,31.5,NA
"84","03/05/2000",6373.4,6373.4,6176.1,6184.8,0,6184.8,6412.6,6311.9,NA,127.099999999999
"85","04/05/2000",6184.8,6231.4,6162.5,6199.6,0,6199.6,6373.4,6176.1,NA,-23.5
"86","05/05/2000",6199.6,6267.9,6190.5,6238.8,0,6238.8,6231.4,6162.5,7.40000000000055,NA
"87","08/05/2000",6238.8,6299.4,6174.3,6216.3,0,6216.3,6267.9,6190.5,-50,-25.8000000000002
"88","09/05/2000",6216.3,6243.1,6112.9,6123.8,0,6123.8,6299.4,6174.3,NA,50.5
"89","10/05/2000",6123.8,6182.9,6090.2,6100.6,0,6100.6,6243.1,6112.9,NA,12.2999999999993
"90","11/05/2000",6100.6,6263.6,6051.5,6245.9,0,6245.9,6182.9,6090.2,63,-50
"91","12/05/2000",6245.9,6304.2,6220.6,6283.5,0,6283.5,6263.6,6051.5,19.8999999999996,NA
"92","15/05/2000",6283.5,6290.5,6218.2,6247.7,0,6247.7,6304.2,6220.6,NA,-27.0999999999995
"93","16/05/2000",6247.7,6349.1,6247.7,6318.4,0,6318.4,6290.5,6218.2,27.8999999999996,NA
"94","17/05/2000",6318.4,6321.6,6189.2,6196.2,0,6196.2,6349.1,6247.7,NA,51.5
"95","18/05/2000",6196.2,6256,6196.2,6232.9,0,6232.9,6321.6,6189.2,NA,NA
"96","19/05/2000",6232.9,6237.6,6039.1,6045.4,0,6045.4,6256,6196.2,NA,150.8
"97","22/05/2000",6045.4,6130.1,5991.9,6035.5,0,6035.5,6237.6,6039.1,NA,3.60000000000036
"98","23/05/2000",6035.5,6128.5,6026.1,6086.8,0,6086.8,6130.1,5991.9,NA,NA
"99","24/05/2000",6086.8,6127.1,5997.6,6118.6,0,6118.6,6128.5,6026.1,NA,-50
"100","25/05/2000",6118.6,6234.6,6118.6,6231.1,0,6231.1,6127.1,5997.6,104,NA
"101","26/05/2000",6231.1,6252.2,6153.2,6216.9,0,6216.9,6234.6,6118.6,-17.7000000000007,NA
